citing_doi	year	title	venue	authors
10.1186/s12859-019-3121-x	2019	A-Lister: a tool for analysis of differentially expressed omics entities across multiple pairwise comparisons	BMC Bioinformatics	Stanislav Listopad, Trina M. Norden‐Krichmar
10.1534/g3.119.400185	2019	ARMOR: An A utomated R eproducible MO dular Workflow for Preprocessing and Differential Analysis of R NA-seq Data	G3 Genes Genomes Genetics	Stephany Orjuela, Ruizhu Huang, Katharina Hembach, Mark D. Robinson, Charlotte Soneson
10.1101/575951	2019	ARMOR: an Automated Reproducible MOdular workflow for preprocessing and differential analysis of RNA-seq data	bioRxiv (Cold Spring Harbor Laboratory)	Stephany Orjuela, Ruizhu Huang, Katharina Hembach, Mark D. Robinson, Charlotte Soneson
10.1038/s41419-019-1682-2	2019	Aberrant NFATc1 signaling counteracts TGFβ-mediated growth arrest and apoptosis induction in pancreatic cancer progression	Cell Death and Disease	Marie C. Hasselluhn, G. Schmídt, Volker Ellenrieder, Steven A. Johnsen, Elisabeth Heßmann
10.3390/medicines6020062	2019	Abundance of Plant-Associated Gammaproteobacteria Correlates with Immunostimulatory Activity of Angelica sinensis	Medicines	Kriti Kalpana, Diego Montenegro, Giovanna Romero, Ximena Peralta, Betül Akgöl Oksuz, Adriana Heguy, Moriya Tsuji, Akira Kawamura
10.1016/j.aquaculture.2019.03.055	2019	Abundant bacteria in the proximal and distal intestine of healthy Siberian sturgeons (Acipenser baerii)	Aquaculture	Tania Pérez, Claudio Alba, Marina Aparicio, Javier de Andrés, Jose Antonio Ruiz-Santa-Quiteria, Juan Miguel Rodríguez, Alicia Gibello
10.1093/gigascience/giz143	2019	Accessible and reproducible mass spectrometry imaging data analysis in Galaxy	GigaScience	Melanie Christine Föll, Lennart Moritz, Thomas Wollmann, Maren Nicole Stillger, Niklas Vockert, Martin Werner, Peter Bronsert, Karl Rohr, Björn Andreas Grüning, Oliver Schilling
10.1101/628719	2019	Accessible and reproducible mass spectrometry imaging data analysis in Galaxy	bioRxiv (Cold Spring Harbor Laboratory)	Melanie Christine Föll, Lennart Moritz, Thomas Wollmann, Maren Nicole Stillger, Niklas Vockert, Martin Werner, Peter Bronsert, Karl Rohr, Björn Andreas Grüning, Oliver Schilling
10.1007/978-1-4939-9748-0_10	2019	Accessing Cryptosporidium Omic and Isolate Data via CryptoDB.org	Methods in molecular biology	On Behalf of the EuPathDB Team, Susanne W. Warrenfeltz, Jessica C. Kissinger
10.1093/gigascience/giz052	2019	Accumulating computational resource usage of genomic data analysis workflow to optimize cloud computing instance selection	GigaScience	Tazro Ohta, Tomoya Tanjo, Osamu Ogasawara
10.1016/j.cell.2019.10.009	2019	Active and Repressed Chromatin Domains Exhibit Distinct Nucleosome Segregation during DNA Replication	Cell	Thelma M. Escobar, Ozgur Oksuz, Ricardo Saldaña-Meyer, Nicolas Descostes, Roberto Bonasio, Danny Reinberg
10.15252/emmm.201910919	2019	Active poly‐GA vaccination prevents microglia activation and motor deficits in a C9orf72 mouse model	EMBO Molecular Medicine	Qihui Zhou, Nikola Mareljic, Meike Michaelsen, Samira Parhizkar, Steffanie Heindl, Brigitte Nuscher, Daniel Farny, Mareike Czuppa, Carina Schludi, Alexander E. Graf, Stefan Krebs, Helmut Blum, Regina Feederle, Stefan Roth, Christian Haass, Thomas Arzberger, Arthur Liesz, Dieter Edbauer
10.1101/677344	2019	Aequorea victoria’s secrets	bioRxiv (Cold Spring Harbor Laboratory)	Gerard G. Lambert, Hadrien Depernet, Guillaume Gotthard, Darrin T. Schultz, Isabelle Navizet, Talley J. Lambert, Daphne S. Bindels, Vincent Lévesque, Jennifer Nero Moffatt, Anya Salih, Antoine Royant, Nathan C. Shaner
10.1099/jgv.0.001344	2019	Agua Salud alphavirus defines a novel lineage of insect-specific alphaviruses discovered in the New World	Journal of General Virology	Kyra Hermanns, Marco Marklewitz, Florian Zirkel, Gijs J. Overheul, Rachel A. Page, José R. Loaiza, Christian Drosten, Ronald P. van Rij, Sandra Junglen
10.3390/pathogens8040195	2019	An Acute Stress Model in New Zealand White Rabbits Exhibits Altered Immune Response to Infection with West Nile Virus	Pathogens	Willy W. Suen, Mitchell Imoda, Albert W. Thomas, Nur N.B.M. Nasir, Nawaporn Tearnsing, Wenqi Wang, Helle Bielefeldt‐Ohmann
